原线路名称
1号线
安卡拉铁路（Ankaray）
M1
M2
M3
M4
1号线
2号线
1号线
2号线
环线
1号线
2号线
3号线
空港线
4号线
5号线
5号线
江跳线
6号线
国博线
9号线
10号线
1号线
1号线
2号线
1号线
2号线
3号线
4号线
5号线
1号线
2号线
伊兹密尔地铁线
1号线
1号线
2号线
3号线
4号线
5号线
6号线
1号线
2号线
3号线
4号线
2号线
南北线
1号线
2号线
3号线
3号线支线
5号线
12号线
13号线
1号线
2号线
1号线
2号线
3号线
1号线
2号线
3号线
1号线
2号线
9号线
10号线
1号线
2号线
3号线
4号线
5号线
6号线
西环线
1号线
2号线
3号线
1号线
2号线
3号线
3号线
4号线
5号线
6号线
6号线
7号线
8号线
9号线
10号线
16号线
19号线
齐兰扎尔线（英语：Chilonzor Line）
乌兹别克斯坦线（英语：Ozbekiston Line）
尤努萨巴特线（英语：Yunusobod Line）
环线（英语：Circle (Halqa) Line）
1号线
2号线
1号线
2号线
3号线
4号线
5号线
1号线
2号线
4号线
5号线
6号线
7号线
8号线
9号线
10号线
11号线
13号线
14号线
15号线
16号线
17号线
19号线
八通线
大兴线
亦庄线
昌平线
房山线
房山线
燕房线
S1线
首都机场线
首都机场线
大兴机场线
西郊线
亦庄T1线
2A号线
1号线
2号线
3号线
4号线
5号线
6号线
8号线
9号线
10号线
1号线
2号线
3号线
4号线
5号线
S1线
1号线
2号线
3号线
S1线
1号线
2号线
长春轨道交通1号线
长春轨道交通2号线
长春轨道交通3号线
长春轨道交通4号线
长春轨道交通8号线
1号线
1号线
2号线
3号线
4号线
5号线
6号线
9号线
14号线
16号线
1号线
2号线
3号线
4号线
8号线
11号线
13号线
1号线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线
10号线
17号线
18号线
1号线
2号线
3号线
4号线
4号线
5号线
11号线
1号线
2号线
3号线
4号线
5号线
6号线
14号线
城郊线
1号线
绍兴城际线（S1线）
1号线
2号线
3号线
千里马线
革新线
橙线
黄线
绿线
红线
蓝线
米色线
阿达纳地铁线
绿线
橙线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
11号线
16号线
阳逻线
城市环线
1号线
金义线
义东线
绿线
1号线
2号线
3号线
4号线
7号线
10号线
S1号线
S3号线
S6号线
S7号线
S8号线
S9号线
1号线
2号线
3号线
3号线支线
4号线
5号线
6号线
7号线
7号线支线
8号线
9号线
10号线
11号线
12号线
13号线
14号线
1号线
4号线
2号线
1号线（Первая линия）
1号线
2号线
3号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线
13号线
14号线
14号线
18号线
21号线
22号线
广佛线
粉红线
紫线
水蓝线
1号线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线
A线
B线
12号线
红线
绿线
南北线
东西线
东丰线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
8A线
9号线
10号线
11号线
12号线
13号线
14号线
15号线
1号线
2号线
3号线
4号线
5号线
5号线支线
6号线
7号线
8号线
9号线
10号线
10号线支线
11号线
11号线支线
12号线
13号线
14号线
15号线
16号线
17号线
18号线
浦江线
磁浮线
M1A
M1B
M2
M3
M4
M5
M6
M7
M8
M9
M11
MA
MB
MC
1号线
2号线
3号线
麦加轻轨南线
广佛线
2号线
3号线
无锡地铁1号线
无锡地铁2号线
无锡地铁3号线一期
无锡地铁4号线一期
1号线
1号线
2A线
7号线
2号线
南北线
东西线
蓝线
绿线
紫线
埼玉高速铁道线
1号线
2号线
3号线
橙线
M1
M2
M3
M4
1号线
2号线
3号线
4号线
5号线
1号线
广岛新交通1号线
1号线
2号线
3号线
红线
橘线
环状轻轨
B线
D线
A线
C线
E线
K线
1号线
1号线
2号线
1号线
2号线
5号线
6号线
1号线
2号线
1号线
2号线
3号线
4号线
5号线
6号线
6号线支线
7号线
8号线
9号线
10号线
11号线
12号线
14号线
16号线
20号线
1号线
2号线
南北线
东西线
东西线樟宜机场支线
环线
汤申－东海岸线
东北线
滨海市区线
东铁线
东铁线支线
观塘线
荃湾线
港岛线
东涌线
将军澳线
将军澳线支线
屯马线
迪士尼线
南港岛线
机场快线
1号线
2号线
M1
M2
M2M
M1
M2
素坤逸线
是隆线
曼谷旅客捷运金线
蓝线
紫线
黄线
机场快线
1号线
2号线
红线
绿线
绿线
紫线
紫线
绿线
红线
黄线
蓝线
蓝线支线
绿线
绿线支线
紫线
橙线
粉红线
粉红线支线
洋红线
灰线
U1
U2
U3
U4
A线（Linka A）
B线（Linka B）
C线（Linka C）
橙线
U1
U2
U3
U4
U5
U6
U7
U8
U9
红线
S1
1号线
2号线
3号线
乌丸线
东西线
1号线
红线
蓝线
绿线
1号线
U1
U2
U3
U4
U6
博览线
千禧线
加拿大线
1号线
机场线
1号线
南北线
东西线
蓝线（1/3号线）
绿线（4号线）
港未来线
1号线
2号线
3号线
3号线
4号线
4号线支线
2号线
5号线
9号线
9号线支线
8号线
11号线
7号线
13号线
1号线
6号线
10号线
12号线
临海线
古尔冈快速地铁线
M1
M2
西神延
山手线
北神线
海岸线
Bakerloo
Central
Circle
District
Hammersmith & City
Jubilee
Metropolitan
Northern
Piccadilly
Victoria
Waterloo & City
1号线
2号线
3号线
4号线
5号线
6号线
7号线
1号央街－大学线
2号布鲁亚－丹佛线
3号雪柏线
1号线
2号线
3号线
4号线
5号线
1号线
2号线
橙线
水线
红线
蓝线
绿线
橙线
紫线
棕线
粉线
黄线
1号线
2号线
3号线
4号线
5号线
15号线
Line 1
Line 2
Line 3
1号线
6号线
红线
金线
蓝线
绿线
M1
基多地铁线
1号线
2号线
蓝线
绿线
M1
M2
M3
1号线
A线
B线
K线
J线
L线
H线
M线
P线
绿线
黄线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
A线
B线
C线
D线
E线
F线
G线
J线
L线
M线
N线
Q线
R线
W线
Z线
S号线 (42nd Street Shuttle)
S号线 (Rockaway Park Shuttle)
S号线 (Franklin Avenue Shuttle)
1号线
2号线
3号线
4号线
釜山－金海轻电铁
东海线
SIR
蓝线
橙线
红线
M1
M2
M3
M4
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线
10号线
11号线
12号线
支线
U1
U2
U3
红线
橙线
蓝线
绿线
银线
蓝线
圣胡安地铁线
U1
U2
U3
U4
U5
U6
U7
U8
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
南港港城线
1号线
名城线
2号线
3号线
6号线
上饭田线
1号线
2号线
3号线
50号线
51号线
52号线
53号线
54号线
莫斯科线
汽車厂线
绿草地线
1号线
2号线
1号线
2号线
3号线
4号线
4A线
5号线
6号线
M1
埃里温地铁线
3号线
4号线
5号线
8号线
9号线
12号线
1号线
1号线
2号线
3号线
4号线
1号线
M1
M2
A线
B线
M1
M1
M2
M3
M4
M5
红线（海滨线）
绿线（英语：Green Line (Doha Metro)）（教育线）
金线（英语：Gold Line (Doha Metro)）
绿线
橙线
红线
蓝线
绿线
中央一线
中央二线
南线
蓝线T10
蓝线T11
红线T13
红线T14
绿线T17
绿线T18
绿线T19
M1
A线
B线
C线
D线
E线
1号线
蓝线
黄线
绿线
红线
绿线
橙线
黄线
蓝线
大都会快速网络线
文湖线
淡水信义线
淡水信义线支线
松山新店线
松山新店线支线
中和新芦线
板南线
板南线支线
环状线西环段
新北投支线
小碧潭支线
1号线
2号线
3号线
4号线
M1
M2
1号线
M1
M2
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线
10号线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线北段
9号线南段
10号线北段
10号线南段
11号线
12号线
M1
M2
M3
M4
M5
1号线
2号线
5号线
6号线
诺伊达地铁线
A线
B线
A线
B线
C线
D线
A线
B线
C线
D线
E线
H线
P线
科契地铁线
巴尔的摩地铁线
氹仔线
1号线
2号线
1号线
2号线
3号线
4号线
5号线
6号线
7号线
8号线
9号线
红线
蓝线
橙线
黄线
绿线
银线
1号线
2号线
3号线
E2
E5
1号线
2号线
3号线
1号线
2号线
霍博肯－世界贸易中心线
霍博肯－33街线
东叶高速线
北总线
蓝线
杂志广场－33街线
杂志广场－33街线
纽瓦克－世界贸易中心线
天际线
